Symbol,Name
EVRG,Evergy Inc. Common Stock
ES,Eversource Energy (D/B/A) Common Stock
EXC,Exelon Corporation Common Stock
EXPE,Expedia Group Inc. Common Stock
EXPD,Expeditors International of Washington Inc. Common Stock
EXR,Extra Space Storage Inc Common Stock
FANG,Diamondback Energy Inc. Common Stock
FFIV,F5 Inc. Common Stock
FB,#CALC!
FAST,Fastenal Company Common Stock
FRT,Federal Realty Investment Trust Common Stock
FDX,FedEx Corporation Common Stock
FIS,Fidelity National Information Services Inc. Common Stock
FITB,Fifth Third Bancorp Common Stock
FE,FirstEnergy Corp. Common Stock
FRC,#CALC!
FISV,#CALC!
FLT,#CALC!
FLIR,#CALC!
FLS,Flowserve Corporation Common Stock
FMC,FMC Corporation Common Stock
F,Ford Motor Company Common Stock
FTNT,Fortinet Inc. Common Stock
FTV,Fortive Corporation Common Stock 
FBHS,#CALC!
FOXA,Fox Corporation Class A Common Stock
FOX,Fox Corporation Class B Common Stock
FCX,Freeport-McMoRan Inc. Common Stock
FTI,TechnipFMC plc Ordinary Share
GOOGL,Alphabet Inc. Class A Common Stock
GOOG,Alphabet Inc. Class C Capital Stock
GLW,Corning Incorporated Common Stock
GPS,Gap Inc. (The) Common Stock
GRMN,Garmin Ltd. Common Stock (Switzerland)
GD,General Dynamics Corporation Common Stock
GE,GE Aerospace Common Stock
GIS,General Mills Inc. Common Stock
GM,General Motors Company Common Stock
GPC,Genuine Parts Company Common Stock
GILD,Gilead Sciences Inc. Common Stock
GL,Globe Life Inc. Common Stock
GPN,Global Payments Inc. Common Stock
GS,Goldman Sachs Group Inc. (The) Common Stock
GWW,W.W. Grainger Inc. Common Stock
HRB,H&R Block Inc. Common Stock
HAL,Halliburton Company Common Stock
HBI,Hanesbrands Inc. Common Stock
HIG,Hartford Financial Services Group Inc. (The) Common Stock
HAS,Hasbro Inc. Common Stock
HCA,HCA Healthcare Inc. Common Stock
HSIC,Henry Schein Inc. Common Stock
HSY,The Hershey Company Common Stock
HES,Hess Corporation Common Stock
HPE,Hewlett Packard Enterprise Company Common Stock
HLT,Hilton Worldwide Holdings Inc. Common Stock 
HFC,#CALC!
HOLX,Hologic Inc. Common Stock
HD,Home Depot Inc. (The) Common Stock
HON,Honeywell International Inc. Common Stock
HRL,Hormel Foods Corporation Common Stock
HST,Host Hotels & Resorts Inc. Common Stock
HWM,Howmet Aerospace Inc. Common Stock
HPQ,HP Inc. Common Stock
HUM,Humana Inc. Common Stock
HBAN,Huntington Bancshares Incorporated Common Stock
HII,Huntington Ingalls Industries Inc. Common Stock
IT,Gartner Inc. Common Stock
IEX,IDEX Corporation Common Stock
IDXX,IDEXX Laboratories Inc. Common Stock
INFO,#CALC!
ITW,Illinois Tool Works Inc. Common Stock
ILMN,Illumina Inc. Common Stock
INCY,Incyte Corp. Common Stock
IR,Ingersoll Rand Inc. Common Stock
INTC,Intel Corporation Common Stock
